epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,504.19,0.97188,1.01849,1.21688,0.74622,0.78022,0.79888,0.55014,1.15847,1.24245,1.39523,0.005743,0.005743,0.005743
45,514.239,0.98048,1.0552,1.22421,0.75308,0.77086,0.75441,0.53415,1.06883,1.42198,1.31808,0.005644,0.005644,0.005644
46,524.432,0.97362,1.0282,1.21099,0.74372,0.79724,0.7879,0.57453,1.20664,1.2733,1.46167,0.005545,0.005545,0.005545
47,535.079,0.96819,1.02129,1.20114,0.68215,0.79121,0.77325,0.56883,1.16109,1.44924,1.37144,0.005446,0.005446,0.005446
48,545.908,0.93255,0.9822,1.20388,0.77252,0.71978,0.76791,0.55651,1.2619,1.52189,1.47314,0.005347,0.005347,0.005347
49,556.801,0.95244,0.9906,1.18929,0.71175,0.77473,0.77569,0.54671,1.18062,1.40194,1.4325,0.005248,0.005248,0.005248
50,567.629,0.925,0.99752,1.1771,0.76113,0.74176,0.76379,0.55357,1.0678,1.31913,1.41086,0.005149,0.005149,0.005149
51,578.249,0.90432,0.95386,1.16309,0.82344,0.74176,0.80111,0.57185,1.19563,1.43035,1.48995,0.00505,0.00505,0.00505
52,588.904,0.9157,0.93781,1.17766,0.77119,0.82418,0.812,0.56653,1.2463,1.42887,1.58463,0.004951,0.004951,0.004951
53,599.243,0.92254,0.9687,1.19056,0.80142,0.74176,0.78426,0.54947,1.28631,1.34123,1.44451,0.004852,0.004852,0.004852
54,609.45,0.91432,0.96887,1.17973,0.76699,0.7967,0.78,0.56618,1.21872,1.3088,1.37556,0.004753,0.004753,0.004753
55,619.773,0.89333,0.94663,1.17694,0.76286,0.79541,0.79749,0.59451,1.1689,1.22607,1.39069,0.004654,0.004654,0.004654
56,630.346,0.89699,0.95519,1.17182,0.81212,0.77473,0.82006,0.60638,1.1554,1.24233,1.3603,0.004555,0.004555,0.004555
57,640.611,0.89316,0.95071,1.17204,0.80155,0.82967,0.82925,0.60806,1.15724,1.24625,1.3416,0.004456,0.004456,0.004456
58,651.066,0.87819,0.94281,1.17187,0.76702,0.77784,0.77783,0.56979,1.20399,1.44855,1.41715,0.004357,0.004357,0.004357
59,661.521,0.89258,0.93437,1.1623,0.84327,0.79822,0.84468,0.64665,1.10127,1.16109,1.31308,0.004258,0.004258,0.004258
60,671.885,0.85764,0.88681,1.14808,0.78512,0.82313,0.81967,0.61704,1.10535,1.35953,1.37432,0.004159,0.004159,0.004159
61,682.301,0.86065,0.91018,1.1592,0.82847,0.80769,0.8283,0.63044,0.99428,1.15315,1.25274,0.00406,0.00406,0.00406
62,692.414,0.84862,0.87955,1.12564,0.82978,0.80354,0.81844,0.60617,1.1607,1.14199,1.43466,0.003961,0.003961,0.003961
63,702.684,0.83405,0.87089,1.1351,0.78739,0.77473,0.80316,0.61041,1.11749,1.51729,1.45331,0.003862,0.003862,0.003862
64,713.033,0.83761,0.87561,1.14309,0.79717,0.799,0.83303,0.64159,1.12506,1.25748,1.32206,0.003763,0.003763,0.003763
65,723.389,0.80701,0.83136,1.12511,0.78408,0.7967,0.81523,0.61162,1.08251,1.14249,1.32663,0.003664,0.003664,0.003664
